Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Department
Healthcare Innovation and Entrepreneurship Essentials,HIEE,ENT421/BIO571,None,None,Monsoon,BIO
Computer Aided Drug Design,CADD,BIO561,None,None,Winter,BIO
Computational Metagenomics,CoMeG,BIO549,None,None,Monsoon,BIO
Human Microbiome Data Science,HMDS,BIO548,None,None,Winter,BIO
Computing for Medicine,CM,BIO546/CSE585,None,None,Monsoon,BIO
Biostatistics,BioStats,BIO545,None,None,Winter,BIO
Computational Gastronomy,CGAS,BIO544,None,None,Monsoon,BIO
Big Data Mining in Healthcare,BDMH,BIO543,None,None,Winter,BIO
Machine Learning for Biomedical Applications,MLBA,BIO542,None,None,Monsoon,BIO
Data Sciences for Genomics,DSG,BIO541,None,None,Winter,BIO
Introduction to Computational Neuroscience,ICN,BIO534,None,BIO505,Winter,BIO
Systems and Synthetic Biology,S&SB,BIO533,"BIO531, BIO501",None,Winter,BIO
Network Biology,NB,BIO532,None,None,Monsoon,BIO
Introduction to Mathematical Biology,IMB,BIO531,MTH100,BIO303/BIO503,Winter,BIO
Biomedical Image processing,BIP,BIO524,None,None,Monsoon,BIO
Chemoinformatics,CHI,BIO523,None,None,Winter,BIO
Algorithms in Computational Biology,ACB,BIO522,None,BIO321,Monsoon,BIO
Foundations of Modern Biology,FOMB,BIO512,None,"BIO601, BIO214",Monsoon,BIO
Cell Biology and Bio-Chemistry,CBB,BIO511,None,BIO211,Monsoon,BIO
Stochastic Simulations in Systems Biology and Biophysics,SSSBB,BIO506,BIO531,None,Monsoon,BIO
Biophysics,BioP,BIO361,None,None,Monsoon,BIO
Algorithms in Bioinformatics,ABIN,BIO321,CSE222,None,Monsoon,BIO
Practical Bioinformatics,PB,BIO221,None,None,Winter,BIO
Genetics and Molecular Biology,GMB,BIO214,None,None,Monsoon,BIO
Introduction to Quantitative Biology,IQB,BIO213,MTH100,None,Winter,BIO
Cell Biology and Bio-Chemistry,CBBC,BIO211,None,BIO511,Monsoon,BIO
Foundations of Biology,FOB,BIO101,None,None,Winter,BIO
Introduction to AI in Medical Imaging,IAMI,ECE667A,"MTH201, MTH100, Vect or Calculus",None,Monsoon,CSE
Machine Learning Techniques for Real-time Control,MLRC,ECE577,None,None,Winter,CSE
Deep Learning,DL,ECE553,None,None,Winter,CSE
Machine Learning,ML,ECE363/ECE563/CSE343,"MTH100, MTH201, CSE101, MTH203",None,Monsoon/Winter,CSE
Topics in Cryptanalysis,TC,CSE793A,None,None,Winter,CSE
Network Anonymity and Privacy,NAP,CSE749,None,None,Monsoon,CSE
Advanced Topics in Mobile Computing,ATMC,CSE734,CSE232,None,Winter,CSE
Topics in Software Engineering: AI in SE,TSE,CSE701,None,None,Monsoon,CSE
Multimedia Security,MS,CSE694F/ECE651,ECE350,None,Winter,CSE
Meta-Learning,MEL,CSE663A,"CSE643, CSE343/CSE543/ECE563 or CSE641",None,Winter,CSE
Edge AI,EAI,CSE663,"CSE343/CSE543/ECE563, CSE342/CSE542",None,Winter,CSE
Special Topics in Computer Vision,SCV,CSE662A,ECE350,None,Winter,CSE
Affective Computing,AFC,CSE661/DES507,"CSE101, CSE102, CSE201",None,Monsoon,CSE
Trustworthy AI systems,TAIS,CSE660,CSE643 or CSE343/CSE543/ECE563 or CSE342/CSE542,CSE660A,Winter,CSE
Information Integration and Applications,IIA,CSE656,CSE202,None,Monsoon,CSE
Network Science,NS,CSE655,None,None,Winter,CSE
Topics in Adaptive Cybersecurity,TAC,CSE651,CSE345/CSE545,None,Monsoon,CSE
Privacy and Security in Online Social Media,PSOSM,CSE645,None,None,Winter,CSE
Artificial Intelligence,AI,CSE643,CSE102,None,Monsoon,CSE
Advanced Machine Learning,AML,CSE642,"MTH201, CSE343/CSE543/ECE563, CSE342/CSE542",APRML,Monsoon,CSE
Collaborative Filtering,CF,CSE640,MTH100,None,Monsoon,CSE
Communication Networks,COMN,CSE636/ECE636,MTH201,None,Winter,CSE
Social Robotics,SR,CSE633A,None,None,Winter,CSE
Robotics,IRob,CSE633/ECE670,None,None,Winter,CSE
Semantic Web,Sweb,CSE632,"CSE101, CSE202",None,Winter,CSE
Advanced Operating Systems,AOS,CSE631,CSE231,None,Winter,CSE
Introduction to Quantum Computing,IQC,CSE622,MTH100,None,Winter,CSE
Meta-Learning,MTL,CSE618,CSE641,None,Winter,CSE
Statistical Computation,SComp,CSE609,MTH201,None,Winter,CSE
Data Lifecycle Management,DLM,CSE606A,CSE343/CSE543/ECE563,None,Monsoon,CSE
Data Warehouse,DW,CSE606,CSE202,None,Winter,CSE
Knowledge Graphs in Practice,KG,CSE605A,CSE508 or CSE551,None,Monsoon,CSE
Object Oriented Programming and Design,OOPD,CSE600A/ECE600A,None,None,Monsoon,CSE
Geometry Processing,GP,CSE5GP,CSE101,None,Monsoon/Winter,CSE
Program Verification,PV,CSE584,CSE121 or MTH210,None,Monsoon,CSE
Software Development using Open Source,SDOS,CSE583,None,None,Monsoon,CSE
Software Production Evolution and Maintenance,SPEM,CSE582,None,None,Monsoon,CSE
